game_pk,home_team,away_team,home_prob,away_prob,predicted_edge,predicted_home_runs,predicted_away_runs,timestamp
822686,Washington Nationals,Atlanta Braves,0.5439795046968403,0.4560204953031597,0.08795900939368062,8.873998588441962,3.7539104314024567,BACKTEST_INIT
822687,Washington Nationals,Atlanta Braves,0.544750430292599,0.45524956970740105,0.0895008605851979,4.7681104920721005,2.4338648538361336,BACKTEST_INIT
822688,Washington Nationals,Miami Marlins,0.5440278988666086,0.45597210113339137,0.08805579773321726,5.274420450094587,2.801723114299865,BACKTEST_INIT
822689,Washington Nationals,Miami Marlins,0.5046082949308756,0.49539170506912444,0.009216589861751112,3.0404064920579774,4.956667318567389,BACKTEST_INIT
822690,Washington Nationals,Miami Marlins,0.6666666666666666,0.33333333333333337,0.33333333333333326,8.728900811683914,1.8820809600513178,BACKTEST_INIT
822691,Washington Nationals,Miami Marlins,0.5421472937000887,0.45785270629991126,0.08429458740017748,2.780215783238286,1.8545661432629692,BACKTEST_INIT
822692,Washington Nationals,Colorado Rockies,0.5079559363525091,0.49204406364749087,0.01591187270501826,1.488515114328321,3.5817453596353808,BACKTEST_INIT
822693,Washington Nationals,Colorado Rockies,0.6666666666666666,0.33333333333333337,0.33333333333333326,11.288258302768606,3.8131004711506566,BACKTEST_INIT
822694,Washington Nationals,Colorado Rockies,0.25,0.75,0.5,1.5158084711170694,10.282877243830955,BACKTEST_INIT
822695,Washington Nationals,Colorado Rockies,0.5059880239520957,0.49401197604790426,0.011976047904191489,3.2207901824256027,4.505807478238799,BACKTEST_INIT
822696,Washington Nationals,Chicago Cubs,0.5064782096584216,0.4935217903415784,0.012956419316843215,5.542825614560027,10.88941041221963,BACKTEST_INIT
822697,Washington Nationals,Chicago Cubs,0.5053763440860215,0.4946236559139785,0.010752688172043001,4.817219291147607,6.191148614006265,BACKTEST_INIT
822698,Washington Nationals,Chicago Cubs,0.5065243179122183,0.4934756820877817,0.013048635824436605,5.369020316305929,6.978948071258877,BACKTEST_INIT
822699,Washington Nationals,Cincinnati Reds,0.5049382716049383,0.4950617283950617,0.009876543209876631,3.595340121861642,5.436167405051662,BACKTEST_INIT
822700,Washington Nationals,Cincinnati Reds,0.5441176470588235,0.4558823529411765,0.08823529411764697,7.2158249263573815,3.103014323091992,BACKTEST_INIT
822701,Washington Nationals,Cincinnati Reds,0.5349794238683128,0.46502057613168724,0.06995884773662553,4.454537183181996,4.174253181257355,BACKTEST_INIT
822702,Washington Nationals,Toronto Blue Jays,0.5454545454545454,0.4545454545454546,0.09090909090909083,7.870938104529548,4.892975444578101,BACKTEST_INIT
822703,Washington Nationals,Toronto Blue Jays,0.5054347826086957,0.4945652173913043,0.010869565217391353,2.6787601391122653,2.5255023333537094,BACKTEST_INIT
822704,Washington Nationals,Arizona Diamondbacks,0.5020920502092049,0.4979079497907951,0.004184100418409775,2.8419167161243073,3.2850786924102278,BACKTEST_INIT
822705,Washington Nationals,Toronto Blue Jays,0.5458015267175572,0.4541984732824428,0.09160305343511443,5.860092120539448,2.502268631664568,BACKTEST_INIT
822706,Washington Nationals,Arizona Diamondbacks,0.5478927203065134,0.45210727969348663,0.09578544061302674,4.096125086006146,3.381987176527992,BACKTEST_INIT
822707,Washington Nationals,Arizona Diamondbacks,0.5461538461538461,0.4538461538461539,0.0923076923076922,5.485348680460362,3.3633315123076013,BACKTEST_INIT
822708,Washington Nationals,New York Yankees,0.4945226917057903,0.5054773082942097,0.010954616588419397,2.592826105377119,4.718378202525732,BACKTEST_INIT
822709,Washington Nationals,New York Yankees,0.556910569105691,0.44308943089430897,0.11382113821138207,8.209710504611513,5.45690706502707,BACKTEST_INIT
822710,Washington Nationals,Houston Astros,0.25,0.75,0.5,1.3569788579032114,5.62040111278235,BACKTEST_INIT
822711,Washington Nationals,New York Yankees,0.495253164556962,0.504746835443038,0.009493670886076,2.6864161198661556,4.977986333211681,BACKTEST_INIT
